1, 라 크라사드  카버네 시라, La Croisade  Cabernet Syrah, 레드, 프랑스(France), 엘지아이 와인 LGI Wines, 카베르네 소비뇽 (Cabernet Sauvignon) 50%| 시라/쉬라즈 (Syrah/Shiraz) 50%, 4, 4, 1, 3, 바닐라|오크,육류요리|치즈, , 각종 육류요리나 치즈와도 매우 잘 어울립니다, https://www.wine21.com/13_search/wine_view.html?Idx=155533,La Croisade Réserve Cabernet - Syrah,3.7
2, G7 샤르도네, G7 Chardonnay, 화이트, 칠레(Chile), 지세븐 G7, 샤르도네 (Chardonnay) 100%, 3, 1, 2, 3, 열대과일,피자|생선구이|치킨|샐러드, , 신선한 샐러드| 굴| 생선구이| 치킨| 피자| 신선한 치즈, https://www.wine21.com/13_search/wine_view.html?Idx=149685,The 7th Generation - G7 Chardonnay,3.4
3, 도스 코파스 카베르네 소비뇽, Dos Copas Cabernet Sauvignon, 레드, 칠레(Chile), 보데가스 이 비녜도스 데 아기레 Bodegas y Vinedos de Aguirre, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 3, 3, 1, 3, ,불고기, 12~13 %, 그릴에 구운 육류| 오리 고기| 불고기 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=165898,Aguirre Dos Copas Cabernet Sauvignon,2.3
4, 도스 코파스 레드 블렌드, Dos Copas Red Blend, 레드, 스페인(Spain), 보데가스 밀레니엄 Bodegas Milenium S.L., 템프라니요 (Tempranillo) | 가르나차 (Garnatxa), 3, 2, 2, 2, 체리,불고기, 12 %, 그릴에 구운 육류나| 오리 요리| 불고기 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=166123,Bodegas Milenium Dos Copas Red Blend,2.5
5, G7 까베르네 소비뇽, G7 Cabernet Sauvignon, 레드, 칠레(Chile), 지세븐 G7, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 2, 2, 1, 3, ,, , 스테이크| 갈비구이| 피자| 미트소스 파스타, https://www.wine21.com/13_search/wine_view.html?Idx=149589,The 7th Generation - G7 Cabernet Sauvignon,3.2
6, 돈 루시아노 모스카토, Don Luciano Moscato, 스파클링, 스페인(Spain), 제이 가르시아 까리용 J.Garcia Carrion, 모스카토 (Moscato ) 100%, 2, 1, 4, 2, 시트러스|사과,해산물|샐러드, 7 %, 애피타이저로 좋으며| 산뜻한 해산물 샐러드나| 가벼운 카나페 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=147580,Don Luciano Blue Moscato,3.1
9, G7 메를로, G7 Merlot, 레드, 칠레(Chile), 지세븐 G7, 메를로 (Merlot) 100%, 2, 2, 2, 3, 바닐라|체리,, , 스테이크| 갈비찜| 불고기| 피자| 미트소스 파스타, https://www.wine21.com/13_search/wine_view.html?Idx=149587,The 7th Generation - G7 Merlot,3.2
11, 롤라이오 화이트 상그리아, Lolailo White Sangria, 기타, 스페인(Spain), 롤라이오 lolailo, 블렌드 (Blend ), 2, 1, 3, 3, 딸기,과일|디저트, 6 %, 과일| 디저트 등과 함께하기 좋다., https://www.wine21.com/13_search/wine_view.html?Idx=162376,Bodegas Sanviver Lolailo Sangria White,3.1
12, G7 까베르네 소비뇽, G7 Cabernet Sauvignon, 레드, 칠레(Chile), 지세븐 G7, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 2, 2, 1, 3, ,, , 스테이크| 갈비구이| 피자| 미트소스 파스타, https://www.wine21.com/13_search/wine_view.html?Idx=149589,The 7th Generation - G7 Cabernet Sauvignon,3.2
13, 롱반 샤도네이, Long Barn Chardonnay, 화이트, 미국(U.S.A), 카모미 Ca'Momi, 샤르도네 (Chardonnay) 100%, 3, 1, 1, 3, 바닐라|아몬드|시트러스|사과,생선구이|랍스터, , 생선전| 생선구이| 피쉬 앤 칩스| 조개 구이| 대게찜| 랍스터구이| 로스트 치킨| 찜닭| 크림소스 파스타와 피자까지 다양한 음식과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=161704,Long Barn Chardonnay,3.6
14, 브라운 브라더스  모스카토, Brown Brothers  Moscato, 화이트, 호주(Australia), 브라운 브라더스 Brown Brothers, 모스카토 (Moscato ) 100%, 2, 1, 4, 2, ,디저트|치즈, 5~6 %, 디저트 음식| 가벼운 스넥| 치즈 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=151848,Brown Brothers Moscato,3.8
15, 1865 셀렉티드 빈야드 까르미네르, 1865 Selected Vineyard Carmenere, 레드, 칠레(Chile), 산 페드로 San Pedro, 카르메네르 (Carmenere) 100%, 4, 4, 1, 4, 오크|토스트,스테이크|양갈비, 14~15 %, 붉은 육류| 스테이크| 갈비찜| 불고기| 양갈비| 한국음식| 햄버거| 피자 와 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=153535,San Pedro Gato Negro Cabernet Sauvignon,3.4
17, 칸티  모스카토 다스티, Canti  Moscato d'Asti, 화이트, 이탈리아(Italy), 칸티 Canti, 모스카토 (Moscato ) 100%, 2, 1, 4, 2, ,소시지|과일|치즈, , 부드러운 치즈나 소시지 등 간단한 안주| 과일 케이크| 쿠키 등의 디저트| 매콤한 동남아 요리, https://www.wine21.com/13_search/wine_view.html?Idx=162132,Canti Moscato d'Asti,4.0
19, G7 레세르바 까베르네 소비뇽, G7 Reserva Cabernet Sauvignon, 레드, 칠레(Chile), 지세븐 G7, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 3, 3, 1, 3, 오크,, , 스테이크| 소고기 스튜| 갈비구이| 피자| 미트소스 파스타, https://www.wine21.com/13_search/wine_view.html?Idx=159752,The 7th Generation - G7 Reserva Cabernet Sauvignon,3.3
20, 세븐 폴스  카베르네 소비뇽, Seven Falls  Cabernet Sauvignon, 레드, 미국(U.S.A), 샤토 생미셸 Chateau Ste.Michelle, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 5, 4, 1, 4, 라벤더,채소|치즈, 14~15 %, 붉은 육류| 익힌 채소| 치즈| 훈제&염장 음식| 밀가루 음식 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=166469,Seven Falls Cabernet Sauvignon,4.0
22, 마르께스 데 까사 콘차  메를로, Marques de Casa Concha  Merlot, 레드, 칠레(Chile), 콘차이 토로 Concha y Toro, 메를로 (Merlot) 88%| 카베르네 소비뇽 (Cabernet Sauvignon) 12%, 4, 3, 1, 3, 바닐라|자두|딸기,자두|치즈, 14 %, 갈비찜| 불고기| 피자| 파스타| 치즈 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=150711,Marques de Casa Concha Merlot,3.9
23, 펜폴즈  쿠능가 힐 까베르네 소비뇽, Penfolds  Koonunga Hill Cabernet Sauvignon, 레드, 호주(Australia), 펜폴즈 Penfolds, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 4, 3, 1, 3, 블랙베리|흑연,양고기, 14~15 %, 붉은 육류| 흰 육류| 훈제 음식| 토마토 파스타| 피자| 양고기 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=159400,Penfolds Koonunga Hill Cabernet Sauvignon,3.6
26, 산테로  피노 샤르도네 스푸만테, Santero  Pinot Chardonnay Spumante, 스파클링, 이탈리아(Italy), 산테로 Santero, 피노 비앙코 (Pinot Bianco) 50%| 샤르도네 (Chardonnay) 50%, 2, 1, 1, 3, ,해산물|샐러드, 11.5 %, 스타터(에피타이저)와 메인에 모두 완벽히 어울리고 생선요리 및 해산물| 크림 수프| 닭요리| 샐러드 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=146865,Santero Pinot - Chardonnay Brut,3.4
28, 코노 수르  비씨클레타 피노 누아, Cono Sur  Bicicleta Pinot Noir, 레드, 칠레(Chile), 코노 수르 Cono Sur, 피노 누아 (Pinot Noir) 100%, 2, 2, 1, 4, 오크,치즈, , 숙성된 치즈| 모든 육류와 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=152279,Cono Sur Bicicleta Pinot Noir,3.3
29, 크레스만 샤또 라 피에리에, Kressmann Chateau La Pierriere, 레드, 프랑스(France), 샤또 라 피에리에 Chateau La Pierriere, 메를로 (Merlot) 60%| 카베르네 소비뇽 (Cabernet Sauvignon) 20%| 카베르네 프랑 (Cabernet Franc) 20%, 4, 4, 1, 4, ,리조또|닭고기|미트, 13.5 %, 미트볼| 훈제 오리| 닭고기| 리조또| 에멘탈치즈 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=139341,Kressmann Côtes de Bordeaux Castillon Château La Pierrière,3.3
31, 얄리  와일드 스완 까베르네 소비뇽, Yali  Wild Swan Cabernet Sauvignon, 레드, 칠레(Chile), 얄리 Yali, 카베르네 소비뇽 (Cabernet Sauvignon) 85%| 시라/쉬라즈 (Syrah/Shiraz) 15%, 2, 3, 1, 3, 오크,, 13~14 %, 립아이 스테이크| 폭립 등 소고기 돼지고기 요리와 잘 맞고| 한식 요리 중에서 한우 로스| 비빔밥 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=154754,Yali Wild Swan Cabernet Sauvignon,3.2
33, 브레드&버터  까베르네 소비뇽, Bread&Butter  Cabernet Sauvignon, 레드, 미국(U.S.A), 브레드&버터 Bread&Butter, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 4, 3, 1, 3, ,스테이크|피자|버섯|바비큐, 13~14 %, 바비큐 음식| 립아이스테이크| 버섯피자| 치즈 버거 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=164964,Bread & Butter Pinot Noir,4.0
35, 인디고 아이즈  피노 누아, Indigo Eyes  Pinot Noir, 레드, 미국(U.S.A), 인디고 아이즈 Indigo Eyes, 피노 누아 (Pinot Noir) 100%, 3, 3, 1, 3, 무화과|장미,치즈, , 숙성된 치즈| 육류 요리 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=165293,Indigo Eyes Pinot Noir,3.5
36, 파트라슈 부르고뉴 피노 누아, Patriarche Bourgogne Pinot Noir, 레드, 프랑스(France), 파트라슈 Patriarche, 피노 누아 (Pinot Noir) 100%, 3, 2, 1, 5, ,치즈, 12~13 %, 야생고기| 흰살고기 요리 및 치즈 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=161261,Patriarche Père & Fils Pinot Noir Bourgogne Couvent des Visitandines,3.3
37, 프레시넷  프로세코, Freixenet  Prosecco, 스파클링, 이탈리아(Italy), 프레시넷 Freixenet, 글레라 (Glera), 2, 1, 1, 5, 사과,과일|샐러드|디저트|치즈, 11~12 %, 샐러드| 부드러운 치즈| 단단한 치즈| 디저트| 과일| 밀가루 음식 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=167507,Freixenet Prosecco,3.7
38, 벨트악스 돈펠더, Weltachs Dornfelder, 레드, 독일(Germany), 벨트악스 Weltachs, 돈펠더 (Dornfelder) 100%, 3, 4, 1, 4, ,케이크|치즈, , 딸기 케이크| 과일안주| 신선한 치즈, https://www.wine21.com/13_search/wine_view.html?Idx=159963,Weltachs Dornfelder,3.2
39, 코노 수르  비씨클레타 소비뇽 블랑, Cono Sur  Bicicleta Sauvignon Blanc, 화이트, 칠레(Chile), 코노 수르 Cono Sur, 소비뇽 블랑 (Sauvignon Blanc) 100%, 2, 1, 1, 4, 미네랄|시트러스|사과|허브,식전주, 12.5 %, 식전주로 제일 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=152276,Cono Sur Bicicleta Reserva Sauvignon Blanc,3.6
40, 간치아  모스카토 다스티, Gancia  Moscato d'Asti, 화이트, 이탈리아(Italy), 간치아 Gancia, 모스카토 (Moscato ) 100%, 3, 1, 4, 2, ,, 7~8 %, 달콤한 케익| 가벼운 스넥 또는 그냥 와인만 마셔도 좋다., https://www.wine21.com/13_search/wine_view.html?Idx=145740,Gancia Moscato d'Asti,3.7
43, 롱반 메를로, Long Barn Merlot, 레드, 미국(U.S.A), 카모미 Ca'Momi, 메를로 (Merlot) 100%, 4, 4, 1, 3, 블랙베리|가죽,, 13.5 %, 불고기| 양념갈비| 제육볶음| 족발| 훈제오리| 치킨 등 다양한 육류 요리는 물론 토마토나 크림 소스의 피자| 파스타와도 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=161703,Long Barn Merlot,3.5
45, 발레벨보  모스카토 스푸만테, Vallebelbo  Moscato Spumante, 스파클링, 이탈리아(Italy), 발레벨보 Vallebelbo, 모스카토 (Moscato ) 100%, 2, 1, 4, 2, 리치,과일, 6.5 %, 케이크| 쿠키 등 각종 디저트 류와 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=139565,Vallebelbo Moscato Spumante Dolce,3.6
46, 간치아  프로세코, Gancia  Prosecco, 스파클링, 이탈리아(Italy), 간치아 Gancia, 프로세코 (Prosecco), 3, 1, 2, 3, ,해산물|치즈, 11~12 %, 애피타이저| 리조또| 파스타| 치즈와 해산물 등 다양한 음식과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=155426,Gancia Prosecco Dry,4.0
48, 마르께스 데 리스칼  레세르바, Marques de Riscal  Reserva, 레드, 스페인(Spain), 마르께스 데 리스칼 Marques de Riscal, 템프라니요 (Tempranillo) | 그라시아노 (Graciano) | 마주엘로 (Mazuelo), 4, 4, 1, 3, 체리|오크,불고기, 14~15 %, 감칠맛 나는 육류 음식(갈비| 불고기)| 피자| 크림 파스타 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=140533,Marqués de Riscal Rioja Reserva,4.0
49, 산 페드로  가또 네그로 까베르네 소비뇽, San Pedro  Gato Negro Cabernet Sauvignon, 레드, 칠레(Chile), 산 페드로 San Pedro, 카베르네 소비뇽 (Cabernet Sauvignon), 2, 3, 1, 3, 고수,스테이크|가금류|한식, 13~14 %, 가금류| 스테이크요리| 한식요리 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=137418,San Pedro Gato Negro Cabernet Sauvignon,3.4
50, 아와테레 소비뇽 블랑, Awatere Sauvignon Blanc, 화이트, 뉴질랜드(New Zealand), 코노 Kono, 소비뇽 블랑 (Sauvignon Blanc) 100%, 2, 1, 1, 4, 효모|미네랄|구아바|허브,해산물|샐러드, 12~13 %, 해산물 요리| 생선요리| 샐러드 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=164980,Tohu Awatere Valley Sauvignon Blanc,4.0
54, G7 까베르네 소비뇽, G7 Cabernet Sauvignon, 레드, 칠레(Chile), 지세븐 G7, 카베르네 소비뇽 (Cabernet Sauvignon) 100%, 2, 2, 1, 3, ,, , 스테이크| 갈비구이| 피자| 미트소스 파스타, https://www.wine21.com/13_search/wine_view.html?Idx=149589,The 7th Generation - G7 Cabernet Sauvignon,3.2
56, 말보로 릿지  소비뇽 블랑, Marlborough Ridge  Sauvignon Blanc, 화이트, 뉴질랜드(New Zealand), 말보로 릿지 Marlborough Ridge, 소비뇽 블랑 (Sauvignon Blanc), 2, 1, 1, 4, 효모|시트러스,해산물|샐러드, 12~13 %, 해산물| 구운 생선| 그린 샐러드| 스파게티 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=165882,Marlborough Ridge Sauvignon Blanc,3.8
57, 머드 하우스  말보로 소비뇽 블랑, Mud House  Marlborough Sauvignon Blanc, 화이트, 뉴질랜드(New Zealand), 머드 하우스 Mud House, 소비뇽 블랑 (Sauvignon Blanc) 100%, 2, 1, 1, 4, 레몬|허브,해산물|샐러드|파스타|연어, , 해산물| 샐러드| 연어 파스타 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=157648,Mud House Sauvignon Blanc,4.0
58, 해피데이 프리미엄, Happy Day Premium, 레드, 프랑스(France), 카스텔 CASTEL [Groupe CASTEL], 카베르네 소비뇽 (Cabernet Sauvignon) | 카베르네 프랑 (Cabernet Franc) | 메를로 (Merlot), 3, 3, 1, 3, ,불고기|치즈|파스타|바비큐, , 스테이크| 로스트비프| 바비큐| 불고기| 파스타| 다양한 치즈 등과 잘 어울린다., https://www.wine21.com/13_search/wine_view.html?Idx=159479,Malesan Happy Day Premium,2.7
59, 폰세카  루비 포트, Fonseca  Ruby Port, 주정강화, 포르투갈(Portugal), 폰세카 Fonseca, 블렌드 (Blend ), 5, 3, 5, 2, 체리,디저트|치즈, 20 %, 별도의 칠링 없이 블루 치즈와 함께 즐기거나 디저트 와인으로 즐기기에 손색 없다. 숙성 없이 영하게 마시기에 좋은 스타일이다., https://www.wine21.com/13_search/wine_view.html?Idx=162142,Fonseca Ruby Port,3.6
